point_index,tx,ty,rx,ry,rz,centroid_x,centroid_y,fwhm_x,fwhm_y,peak,focus_x,focus_y,astig,theta,duration_s
0,-0.13794105127453804,0.6287359446287155,0.030641276668757197,-0.04465433154255152,-0.020206076838076115,-1.5126778640444447,1.2360838106714767,0.051538675375208835,0.036762827105255184,29.763434523595045,-219.2022263450835,-31.838796124510424,187.36343022057306,-0.10308564267552178,4.949524402618408
1,0.35718902572989464,-0.6372891142964363,-0.0464826837182045,0.007724772673100233,0.035865226853638896,0.2576605570041323,-1.244749893741886,0.05102443216013065,0.03857616152944086,28.654287390918345,-179.7464440321584,-71.89239332096483,107.85405071119357,0.07631170739748283,4.700279712677002
2,0.693394847214222,0.21839645691215992,0.006376002915203571,-0.01486870227381587,0.011848499253392222,-0.49696364817478966,0.44073454893138964,0.051638050603330786,0.03263964799766423,33.58395327855831,-260.7606679035251,8.07050092764382,268.8311688311689,-0.02450759322956042,4.9493653774261475
3,-0.7876427546143532,-0.2040006723254919,-0.015962832327932122,0.027939523011446005,-0.04619128638878465,0.9372616306762972,-0.43733303418600605,0.050468003719693066,0.03128979298058374,36.058385196271956,-10.338074623788941,-219.2022263450835,-208.86415172129455,-0.03318978321205002,5.4975879192352295
4,-0.5358974169939756,0.35696321353316307,-0.026934460364282133,0.047291986364871266,-0.028633704967796804,1.5929925880183111,0.6955539057009827,0.0506614094792694,0.030511096165012252,36.964935745864956,-4.195011337868493,-231.48835291692436,-227.29334157905586,0.00034068640700368746,5.138560056686401
5,0.9416535515338182,-0.34643978998064995,0.048627004120498904,-0.0095816545188427,0.012950904387980702,-0.3149870420311098,-0.6789918396736285,0.053155303888604184,0.03465561467502902,30.77307699467091,-284.1372912801485,27.55102040816331,311.6883116883118,-0.048808334382956176,6.340864658355713
6,0.10893031023442745,0.7987968157976866,-0.010474052745848894,0.01770280208438635,0.03930995427072048,0.5948182508443124,1.6158205622056987,0.04740603947134466,0.029167287962694938,40.99354180552489,-137.38404452690168,-110.35868893011751,27.025355596784166,0.007935495895254885,5.7841956615448
7,-0.3896864000707865,-0.8112223986536264,0.013427277654409403,-0.029992086905986072,-0.004993869457393885,-1.0184286796418154,-1.6177532569132342,0.04792635631682682,0.029285874902395353,40.206181344136716,-168.51164708307573,-71.89239332096483,96.6192537621109,0.011235869339527138,5.420992374420166
8,-0.361117135733366,0.09802678786218166,-0.004646493494510649,-0.0019221286289393888,0.0288709937594831,-0.0677290066568665,0.21364942838367637,0.04674650184333388,0.026791075806590754,45.535370083957304,-117.47062461348177,-124.58256029684603,-7.111935683364251,0.002143514784004541,4.974579095840454
9,0.14188453927636147,-0.10464473254978657,0.020084888767451042,0.03964466899633408,-0.013089032843708992,1.339233737099683,-0.21714761042056116,0.04705550603092934,0.027272434198338594,44.54468140551503,-96.13481756338899,-144.49598021026594,-48.36116264687695,0.005859432608343873,5.3163979053497314
10,0.8071349710226059,0.5547529943287373,-0.03350621974095702,-0.03151147533208132,-0.039074215572327375,-1.0570676750080086,1.0747048398917964,0.05491721131132171,0.035528530593566185,28.859718650757387,-304.19501133786844,49.85569985569981,354.05071119356825,0.008142416742726866,5.600335359573364
11,-0.7129022181034088,-0.554046455770731,0.04269003737717868,0.019234396051615477,0.0048542870208621025,0.6445467250683773,-1.103691048625441,0.048966899660710834,0.028783831810238997,40.45890066302741,-39.54854669140386,-201.7625231910947,-162.21397649969083,0.016138976154391305,5.98796272277832
12,-0.9612219538539648,0.8849705848842859,0.0005492539145052419,0.0061191601678729085,0.019970365520566705,0.19454355133206194,1.7805851556600758,0.050444579380107574,0.03344110962630727,33.484047428604875,-38.188002473716836,-199.96907854050718,-161.78107606679035,0.08663064809290599,5.08295202255249
13,0.5554506722837687,-0.8803230207413435,-0.022619632445275786,-0.043060927558690315,-0.03572562299668789,-1.4565033635865632,-1.7679473067218594,0.05783092638075074,0.0422463229690193,23.080096854917496,-290.0329828901257,45.135023706452216,335.1680065965779,0.20150774944470173,5.811275243759155
