point_index,tx,ty,rx,ry,rz,centroid_x,centroid_y,fwhm_x,fwhm_y,peak,focus_x,focus_yastig,duration_s
0,-0.13794105127453804,0.6287359446287155,0.030641276668757197,-0.04465433154255152,-0.020206076838076115,-1.5126778640444447,1.2360838106714767,0.051538675375208835,0.036762827105255184,27.352565886266134,-219.2022263450835,-31.838796124510424,4.709394216537476
1,0.35718902572989464,-0.6372891142964363,-0.0464826837182045,0.007724772673100233,0.035865226853638896,0.2576605570041323,-1.244749893741886,0.05102443216013065,0.03857616152944086,26.001591294913872,-179.7464440321584,-71.89239332096483,4.605648040771484
2,0.693394847214222,0.21839645691215992,0.006376002915203571,-0.01486870227381587,0.011848499253392222,-0.49696364817478966,0.44073454893138964,0.051638050603330786,0.03263964799766423,33.547324467501106,-260.7606679035251,8.07050092764382,4.689069509506226
3,-0.7876427546143532,-0.2040006723254919,-0.015962832327932122,0.027939523011446005,-0.04619128638878465,0.9372616306762972,-0.43733303418600605,0.050468003719693066,0.03128979298058374,31.344387537065156,-10.338074623788941,-219.2022263450835,5.07032585144043
4,-0.5358974169939756,0.35696321353316307,-0.026934460364282133,0.047291986364871266,-0.028633704967796804,1.5929925880183111,0.6955539057009827,0.0506614094792694,0.030511096165012252,31.655222672696972,-4.195011337868493,-231.48835291692436,4.6408936977386475
5,0.9416535515338182,-0.34643978998064995,0.048627004120498904,-0.0095816545188427,0.012950904387980702,-0.3149870420311098,-0.6789918396736285,0.053155303888604184,0.03465561467502902,31.09751510903501,-284.1372912801485,27.55102040816331,4.394291639328003
6,0.10893031023442745,0.7987968157976866,-0.010474052745848894,0.01770280208438635,0.03930995427072048,0.5948182508443124,1.6158205622056987,0.04740603947134466,0.029167287962694938,35.22763832147934,-137.38404452690168,-110.35868893011751,4.762290000915527
7,-0.3896864000707865,-0.8112223986536264,0.013427277654409403,-0.029992086905986072,-0.004993869457393885,-1.0184286796418154,-1.6177532569132342,0.04792635631682682,0.029285874902395353,36.101577412221864,-168.51164708307573,-71.89239332096483,4.080329656600952
8,-0.361117135733366,0.09802678786218166,-0.004646493494510649,-0.0019221286289393888,0.0288709937594831,-0.0677290066568665,0.21364942838367637,0.04674650184333388,0.026791075806590754,38.10524222739323,-117.47062461348177,-124.58256029684603,4.571746349334717
9,0.14188453927636147,-0.10464473254978657,0.020084888767451042,0.03964466899633408,-0.013089032843708992,1.339233737099683,-0.21714761042056116,0.04705550603092934,0.027272434198338594,36.75973965421995,-96.13481756338899,-144.49598021026594,4.455999851226807
10,0.8071349710226059,0.5547529943287373,-0.03350621974095702,-0.03151147533208132,-0.039074215572327375,-1.0570676750080086,1.0747048398917964,0.05491721131132171,0.035528530593566185,30.802687782211734,-304.19501133786844,49.85569985569981,4.253107786178589
11,-0.7129022181034088,-0.554046455770731,0.04269003737717868,0.019234396051615477,0.0048542870208621025,0.6445467250683773,-1.103691048625441,0.048966899660710834,0.028783831810238997,33.828663795903886,-39.54854669140386,-201.7625231910947,4.710129976272583
12,-0.9612219538539648,0.8849705848842859,0.0005492539145052419,0.0061191601678729085,0.019970365520566705,0.19454355133206194,1.7805851556600758,0.050444579380107574,0.03344110962630727,29.795044340309644,-38.188002473716836,-199.96907854050718,4.449375152587891
13,0.5554506722837687,-0.8803230207413435,-0.022619632445275786,-0.043060927558690315,-0.03572562299668789,-1.4565033635865632,-1.7679473067218594,0.05783092638075074,0.0422463229690193,22.30479761961593,-290.0329828901257,45.135023706452216,4.4968345165252686
14,0.3935688566416502,0.4592502638697624,0.03721384629607201,0.03590499954298139,-0.012085808347910641,1.2114473576017066,0.906887056106331,0.04865380619263784,0.033567840587043075,30.36806740978346,-134.53927025355597,-114.62585034013607,4.731618404388428
15,-0.11279738135635853,-0.461927130818367,-0.0405449059791863,-0.02284638434648514,0.04632938858121634,-0.7754051807814667,-0.8894923489259301,0.050106074006408166,0.03497912196983916,29.355561240600984,-177.49948464234186,-65.15151515151521,5.502514123916626
16,-0.02238459885120392,0.4063497632741928,0.024604592658579352,0.01281384024769068,-0.04792419960722327,0.4300850969087141,0.7789950508093062,0.04777291250365404,0.03067002012807961,33.36971199956422,-127.42733457019173,-118.89301175015461,4.521430730819702
17,0.4906363785266876,-0.42125309258699417,-0.0025194688700139536,-0.02553027728572488,0.007332574017345904,-0.8591366172151761,-0.8314166896688331,0.051657970179686326,0.033025145432776126,32.88138946401647,-256.86456400742117,4.174397031539911,5.457866668701172
