point_index,tx,ty,rx,ry,rz,centroid_x,centroid_y,fwhm_x,fwhm_y,peak,focus_x,focus_y,astig,theta,duration_s
0,-0.13794105127453804,0.6287359446287155,0.030641276668757197,-0.04465433154255152,-0.020206076838076115,,,,,,,,,,4.699122190475464
1,0.35718902572989464,-0.6372891142964363,-0.0464826837182045,0.007724772673100233,0.035865226853638896,,,,,,,,,,4.88280987739563
2,0.693394847214222,0.21839645691215992,0.006376002915203571,-0.01486870227381587,0.011848499253392222,,,,,,,,,,4.782472133636475
3,-0.7876427546143532,-0.2040006723254919,-0.015962832327932122,0.027939523011446005,-0.04619128638878465,,,,,,,,,,4.416762828826904
4,-0.5358974169939756,0.35696321353316307,-0.026934460364282133,0.047291986364871266,-0.028633704967796804,,,,,,,,,,4.538062334060669
5,0.9416535515338182,-0.34643978998064995,0.048627004120498904,-0.0095816545188427,0.012950904387980702,,,,,,,,,,4.517731666564941
6,0.10893031023442745,0.7987968157976866,-0.010474052745848894,0.01770280208438635,0.03930995427072048,,,,,,,,,,4.906588077545166
7,-0.3896864000707865,-0.8112223986536264,0.013427277654409403,-0.029992086905986072,-0.004993869457393885,,,,,,,,,,4.5843658447265625
8,-0.361117135733366,0.09802678786218166,-0.004646493494510649,-0.0019221286289393888,0.0288709937594831,,,,,,,,,,4.578153371810913
9,0.14188453927636147,-0.10464473254978657,0.020084888767451042,0.03964466899633408,-0.013089032843708992,,,,,,,,,,4.821081638336182
10,0.8071349710226059,0.5547529943287373,-0.03350621974095702,-0.03151147533208132,-0.039074215572327375,,,,,,,,,,5.058820724487305
11,-0.7129022181034088,-0.554046455770731,0.04269003737717868,0.019234396051615477,0.0048542870208621025,,,,,,,,,,4.913288831710815
12,-0.9612219538539648,0.8849705848842859,0.0005492539145052419,0.0061191601678729085,0.019970365520566705,,,,,,,,,,4.952614068984985
13,0.5554506722837687,-0.8803230207413435,-0.022619632445275786,-0.043060927558690315,-0.03572562299668789,,,,,,,,,,5.212634325027466
14,0.3935688566416502,0.4592502638697624,0.03721384629607201,0.03590499954298139,-0.012085808347910641,,,,,,,,,,5.153528690338135
15,-0.11279738135635853,-0.461927130818367,-0.0405449059791863,-0.02284638434648514,0.04632938858121634,,,,,,,,,,4.729875087738037
16,-0.02238459885120392,0.4063497632741928,0.024604592658579352,0.01281384024769068,-0.04792419960722327,,,,,,,,,,4.579971075057983
17,0.4906363785266876,-0.42125309258699417,-0.0025194688700139536,-0.02553027728572488,0.007332574017345904,,,,,,,,,,4.603695392608643
18,0.591441560536623,0.9964987952262163,0.03784083900973201,0.045528210792690524,0.03408328918740154,,,,,,,,,,4.95517897605896
19,-0.9346934221684933,-0.9874761309474707,-0.03449808582663536,-0.00824502818286419,-0.02467375248670578,,,,,,,,,,4.684118986129761
