TX,RY,Intensity,sigma_x,sigma_y,astigmatism
-4.0,-0.1,11991.000000000007,0.019837866198741,0.0223897524065634,-335.16800659657804
-4.0,-0.0975,12373.000000000004,0.0198714550454904,0.0225825000946039,-344.6093588950732
-4.0,-0.095,12754.000000000004,0.0199079500710921,0.0228345717250458,-377.6540919398063
-4.0,-0.0925,13155.00000000001,0.0198788783229496,0.0230921823401408,-379.8392084106369
-4.0,-0.09,13537.00000000001,0.0198851332052302,0.0232922980753705,-391.81612038754895
-4.0,-0.0875,13882.000000000004,0.0198877026967821,0.0235420106639512,-405.50401978973406
-4.0,-0.085,14270.000000000013,0.0199248823131461,0.0237666615521252,-436.30179344465057
-4.0,-0.0825,14642.000000000007,0.0199477738275572,0.0239533057742347,-436.3017934446505
-4.0,-0.08,15026.000000000004,0.0199662359193825,0.0241558715851025,-441.43475572047
-4.0,-0.0775,15410.000000000013,0.0199974408474983,0.0243880596940005,-440.8575551432695
-4.0,-0.075,15821.000000000007,0.0200648238953012,0.0246369788350673,-446.8150896722326
-4.0,-0.0725,16169.000000000004,0.0201002316692568,0.0248673445853781,-470.6452277880849
-4.0,-0.07,16534.00000000001,0.0201301841619811,0.0250903974220844,-494.47536590393736
-4.0,-0.0675,16926.000000000007,0.0201411291690823,0.0253029063904096,-500.4329004329005
-4.0,-0.065,17325.00000000001,0.0201504551806998,0.0255493745941188,-512.3479694908267
-4.0,-0.0625,17695.000000000007,0.0201842223495203,0.0257952947854422,-522.3252937538653
-4.0,-0.06,18057.000000000007,0.0202026275669201,0.0259853880009495,-535.0649350649351
-4.0,-0.0575,18386.00000000001,0.0202088178955544,0.0262454351941787,-535.0649350649351
-4.0,-0.055,18765.000000000007,0.0202510535634969,0.0264908115973384,-547.8045763760049
-4.0,-0.0525,19018.00000000001,0.0203260324932109,0.0267082781876519,-556.1327561327562
-4.0,-0.05,19022.00000000001,0.0203596513094817,0.0269467828431539,-569.6969696969697
-4.0,-0.0475,19032.000000000007,0.0203824946771814,0.0271892818732692,-576.4790764790765
