TX,RY,Intensity,sigma_x,sigma_y,astigmatism
-4.0,-0.1,11950.000000000007,0.0200929686665537,0.0147654140166633,-335.16800659657804
-3.95,-0.1,13260.500000000004,0.02016494855136225,0.01484930432122325,-335.61121418264275
-3.9,-0.1,14571.000000000013,0.0202369284361708,0.0149331946257832,-336.05442176870747
-3.8499999999999996,-0.1,15898.500000000018,0.0202940002953684,0.0150271224669394,-342.5170068027211
-3.8,-0.1,17226.00000000001,0.020351072154566,0.0151210503080956,-348.9795918367347
-3.75,-0.1,18463.50000000001,0.020377870091854502,0.0149289587472432,-342.5170068027211
-3.7,-0.1,19701.00000000001,0.020404668029143,0.0147368671863908,-336.05442176870747
-3.6500000000000004,-0.1,20942.000000000007,0.0204720302447522,0.014486421537282102,-325.2834467120182
-3.6,-0.1,22183.00000000001,0.0205393924603614,0.0142359758881734,-314.51247165532885
-3.55,-0.1,23460.500000000022,0.02057593622970895,0.0142019615345493,-307.2562358276644
-3.5,-0.1,24738.000000000025,0.0206124799990565,0.0141679471809252,-300.00000000000006
-3.45,-0.1,25525.000000000015,0.020637606853080352,0.013952813031285401,-290.2597402597404
-3.4,-0.1,26312.00000000001,0.0206627337071042,0.0137376788816456,-280.5194805194806
-3.3499999999999996,-0.1,26913.000000000022,0.02062874843211615,0.01362597215433885,-272.72727272727275
-3.3,-0.1,27514.000000000025,0.0205947631571281,0.0135142654270321,-264.935064935065
-3.25,-0.1,28148.000000000025,0.0205654053702267,0.0133649184473954,-257.1428571428572
-3.2,-0.1,28782.000000000025,0.0205360475833253,0.0132155714677587,-249.3506493506494
-3.1500000000000004,-0.1,29433.000000000022,0.020519278300817248,0.013074680413040201,-238.32199546485265
-3.1,-0.1,30084.000000000025,0.0205025090183092,0.0129337893583217,-227.29334157905583
-3.05,-0.1,30725.00000000003,0.0204693413823213,0.0128176210937818,-222.68604411461547
-3.0,-0.1,31366.000000000025,0.0204361737463334,0.0127014528292419,-218.0787466501752
-2.95,-0.1,31975.500000000022,0.02039922545882095,0.01260242778806605,-205.79262007833438
-2.9,-0.1,32585.000000000025,0.0203622771713085,0.0125034027468902,-193.50649350649348
-2.8499999999999996,-0.1,33198.00000000003,0.020303085655843447,0.012386075886939399,-184.2918985776128
-2.8,-0.1,33811.00000000003,0.0202438941403784,0.0122687490269886,-175.07730364873223
-2.75,-0.1,34471.00000000003,0.02021929833518915,0.012142882640299349,-165.05875077303648
-2.7,-0.1,35131.00000000003,0.0201947025299999,0.0120170162536101,-155.04019789734076
-2.65,-0.1,35735.50000000003,0.02014360462230955,0.01197587577303565,-142.6819212533498
-2.5999999999999996,-0.1,36340.00000000004,0.0200925067146192,0.0119347352924612,-130.3236446093588
-2.55,-0.1,36985.00000000003,0.0200626931046278,0.01187115763992085,-121.33580705009274
-2.5,-0.1,37630.00000000003,0.0200328794946364,0.0118075799873805,-112.34796949082664
-2.45,-0.1,38266.50000000003,0.02003047014964945,0.01169869969529895,-98.8662131519275
