TX,RY,Intensity,sigma_x,sigma_y,astigmatism
-4.0,-0.1,11991.000000000007,0.019837866198741,0.0223897524065634,-335.16800659657804
-3.95,-0.1,13289.000000000004,0.0198574234931932,0.022112363900141502,-335.61121418264275
-3.9,-0.1,14587.000000000013,0.0198769807876454,0.0218349753937196,-336.05442176870747
-3.8499999999999996,-0.1,15907.500000000018,0.0198983975404857,0.02157284935011325,-342.5170068027211
-3.8,-0.1,17228.00000000001,0.019919814293326,0.0213107233065069,-348.9795918367347
-3.75,-0.1,18467.00000000001,0.019894948510881652,0.02102579056519225,-342.5170068027211
-3.7,-0.1,19706.00000000001,0.0198700827284373,0.0207408578238776,-336.05442176870747
-3.6500000000000004,-0.1,20971.000000000007,0.01988671502764525,0.020443376742911204,-325.2834467120182
-3.6,-0.1,22236.00000000002,0.0199033473268532,0.0201458956619448,-314.51247165532885
-3.55,-0.1,23514.000000000022,0.0199282471955625,0.0199002067388031,-307.2562358276644
-3.5,-0.1,24792.00000000002,0.0199531470642718,0.0196545178156614,-300.00000000000006
-3.45,-0.1,25599.500000000015,0.019945601117745203,0.01939143146023945,-290.2597402597404
-3.4,-0.1,26407.00000000002,0.0199380551712186,0.0191283451048175,-280.5194805194806
-3.3499999999999996,-0.1,27012.000000000022,0.019917045424827348,0.018879056144561,-272.72727272727275
-3.3,-0.1,27617.00000000002,0.0198960356784361,0.0186297671843045,-264.935064935065
-3.25,-0.1,28258.500000000022,0.019886772567115997,0.0183912313267418,-257.1428571428572
-3.2,-0.1,28900.000000000025,0.0198775094557959,0.0181526954691791,-249.3506493506494
-3.1500000000000004,-0.1,29535.500000000022,0.019879351000906598,0.017909508882281447,-238.32199546485265
-3.1,-0.1,30171.000000000025,0.0198811925460173,0.0176663222953838,-227.29334157905583
-3.05,-0.1,30823.50000000003,0.0198858223955138,0.017428669765479948,-222.68604411461547
-3.0,-0.1,31476.000000000025,0.0198904522450103,0.0171910172355761,-218.0787466501752
-2.95,-0.1,32089.500000000022,0.0199077393399533,0.016955999456978503,-205.79262007833438
-2.9,-0.1,32703.000000000025,0.0199250264348963,0.0167209816783809,-193.50649350649348
-2.8499999999999996,-0.1,33305.50000000003,0.0199207412066987,0.016487956609546897,-184.2918985776128
-2.8,-0.1,33908.00000000003,0.0199164559785011,0.0162549315407129,-175.07730364873223
-2.75,-0.1,34541.50000000003,0.01993843995551245,0.016041292534686648,-165.05875077303648
-2.7,-0.1,35175.00000000003,0.0199604239325238,0.0158276535286604,-155.04019789734076
-2.65,-0.1,35791.50000000003,0.019995678316913852,0.015623729710636849,-142.6819212533498
-2.5999999999999996,-0.1,36408.00000000004,0.0200309327013039,0.015419805892613296,-130.3236446093588
-2.55,-0.1,37046.50000000003,0.020094913025913853,0.015216843009477348,-121.33580705009274
-2.5,-0.1,37685.00000000003,0.0201588933505238,0.0150138801263414,-112.34796949082664
-2.45,-0.1,38301.50000000003,0.02022962787646135,0.014812933620324351,-98.8662131519275
-2.4,-0.1,38918.00000000003,0.0203003624023989,0.0146119871143073,-85.38445681302824
-2.3499999999999996,-0.1,39535.50000000003,0.020374493434281202,0.0144200499142733,-73.9847454133168
-2.3,-0.1,40153.00000000003,0.0204486244661635,0.0142281127142393,-62.585034013605465
-2.25,-0.1,40732.50000000003,0.0205295761748476,0.014056337151248401,-52.6283240568955
-2.2,-0.1,41312.00000000003,0.0206105278835317,0.0138845615882575,-42.671614100185536
