TX,RY,Intensity,sigma_x,sigma_y,astigmatism
-4.0,-0.1,11950.000000000007,0.0200929686665537,0.0147654140166633,-335.16800659657804
-4.0,-0.0975,12352.000000000007,0.0201468963334615,0.0149349270270376,-344.6093588950732
-4.0,-0.095,12755.000000000004,0.0202019786359557,0.0156245234847923,-377.6540919398063
-4.0,-0.0925,13149.00000000001,0.0202416852267007,0.0156383067796606,-379.8392084106369
-4.0,-0.09,13549.000000000007,0.020281154113362,0.0158892473329648,-391.81612038754895
-4.0,-0.0875,13896.000000000004,0.0203053880212066,0.0163210285896589,-405.50401978973406
-4.0,-0.085,14280.000000000013,0.02034149006456,0.0169445943864103,-436.30179344465057
-4.0,-0.0825,14652.000000000007,0.0204152807831017,0.0168733575417628,-436.3017934446505
-4.0,-0.08,15022.000000000004,0.0204582734713744,0.0171601021490955,-441.43475572047
-4.0,-0.0775,15418.00000000001,0.0205531936324644,0.0171211745404503,-440.8575551432695
-4.0,-0.075,15832.000000000007,0.0206868214954544,0.0171880848518489,-446.8150896722326
-4.0,-0.0725,16195.000000000004,0.0207350766980207,0.017656093394766,-470.6452277880849
-4.0,-0.07,16564.000000000007,0.0207899163918269,0.0181309530337556,-494.47536590393736
-4.0,-0.0675,16944.000000000007,0.0208305278096051,0.018460395469577,-500.4329004329005
-4.0,-0.065,17340.000000000015,0.0209103737991251,0.0186641464367833,-512.3479694908267
-4.0,-0.0625,17717.000000000007,0.0209918792770202,0.0189708238576399,-522.3252937538653
-4.0,-0.06,18079.000000000007,0.0210803343274818,0.0191331566780366,-535.0649350649351
-4.0,-0.0575,18401.00000000001,0.0211342959568509,0.0193485922666184,-535.0649350649351
-4.0,-0.055,18771.000000000007,0.0212327545015502,0.0195623435054,-547.8045763760049
-4.0,-0.0525,19027.00000000001,0.0213807075756303,0.0197331010482474,-556.1327561327562
-4.0,-0.05,19024.00000000001,0.0214321036659295,0.0199444091903892,-569.6969696969697
-4.0,-0.0475,19035.000000000007,0.0214477757670848,0.020324812541981,-576.4790764790765
-4.0,-0.045,19054.00000000001,0.0214989489662787,0.0205231967857194,-582.7458256029685
-4.0,-0.0425,19056.000000000007,0.0215121835798287,0.0209226062512643,-604.3290043290044
-4.0,-0.04,19070.00000000001,0.0216503131239866,0.0207735448370646,-604.3290043290044
-4.0,-0.0375,19067.000000000007,0.0216648171080554,0.0211798296677597,-611.523397237683
-4.0,-0.035,19080.000000000007,0.0217496590147794,0.0212109001841639,-618.7177901463616
-4.0,-0.0325,19066.00000000001,0.0217623979981007,0.0216227986473608,-625.9121830550403
-4.0,-0.03,19071.000000000007,0.0218174438292971,0.0218417334911991,-640.3009688723974
-4.0,-0.0275,19076.00000000001,0.0218519525799379,0.0221671374546592,-646.5677179962895
-4.0,-0.025,19092.000000000007,0.0219489081916459,0.0221898090300402,-654.1743970315399
-4.0,-0.0225,19087.00000000001,0.0219900727066763,0.0224642997477862,-665.5741084312513
-4.0,-0.02,19097.000000000007,0.021996789720613,0.0229001366282714,-673.5930735930735
-4.0,-0.0175,19105.00000000001,0.0221087350018533,0.0229054804830742,-681.6120387548958
-4.0,-0.015,19111.000000000007,0.0221691669713262,0.0231346492791904,-681.6120387548958
-4.0,-0.0124999999999999,19132.00000000001,0.0221316663846854,0.0237918934393699,-713.6878994021852
